caller_entry	caller	callsite	callee_entry	callee
140007980	FUN_140007980	140007ca0	14003610b	Pa_GetDeviceInfo
140007980	FUN_140007980	140007cb4	EXTERNAL:000001b0	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007ccc	EXTERNAL:000001a2	operator=
140007980	FUN_140007980	140007cdb	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007cfd	EXTERNAL:000001a2	operator=
140007980	FUN_140007980	140007d31	EXTERNAL:000001a2	operator=
140007980	FUN_140007980	140007d98	14000ab60	FUN_14000ab60
14000e1a0	FUN_14000e1a0	14000e1f3	140036d30	`eh_vector_constructor_iterator'
14000e1a0	FUN_14000e1a0	14000e21e	140036d30	`eh_vector_constructor_iterator'
14000e1a0	FUN_14000e1a0	14000e22b	140020e00	FUN_140020e00
14000e1a0	FUN_14000e1a0	14000e238	140020e00	FUN_140020e00
14000e1a0	FUN_14000e1a0	14000e245	140020e00	FUN_140020e00
14000e1a0	FUN_14000e1a0	14000e2a1	140004a10	FUN_140004a10
14000e1a0	FUN_14000e1a0	14000e2d2	140036d30	`eh_vector_constructor_iterator'
14000e1a0	FUN_14000e1a0	14000e2df	EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
14000e1a0	FUN_14000e1a0	14000e2ed	EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
14000e1a0	FUN_14000e1a0	14000e322	EXTERNAL:0000020b	InitializeCriticalSection
14000e1a0	FUN_14000e1a0	14000e391	140036e9c	operator_new
14000e1a0	FUN_14000e1a0	14000e3a3	140014880	FUN_140014880
14000e1a0	FUN_14000e1a0	14000e3b7	140014950	FUN_140014950
14000e1a0	FUN_14000e1a0	14000e5c9	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e5e4	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e5ff	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e639	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e657	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e675	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e6a8	14000ab60	FUN_14000ab60
1400115c0	FUN_1400115c0	14001160d	140036e9c	operator_new
1400115c0	FUN_1400115c0	14001161f	140006c50	FUN_140006c50
1400115c0	FUN_1400115c0	14001163a	140007250	FUN_140007250
1400115c0	FUN_1400115c0	140011646	140006ef0	FUN_140006ef0
1400115c0	FUN_1400115c0	140011659	140036e9c	operator_new
1400115c0	FUN_1400115c0	14001166d	1400209e0	FUN_1400209e0
1400115c0	FUN_1400115c0	140011683	140036e9c	operator_new
1400115c0	FUN_1400115c0	1400116a4	140004a10	FUN_140004a10
1400115c0	FUN_1400115c0	1400116cf	EXTERNAL:000001ee	ResetEvent
1400115c0	FUN_1400115c0	1400116eb	EXTERNAL:000001b0	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400115c0	FUN_1400115c0	14001171c	EXTERNAL:000001fa	WaitForSingleObject
1400115c0	FUN_1400115c0	140011737	EXTERNAL:000001ee	ResetEvent
1400115c0	FUN_1400115c0	140011767	EXTERNAL:000001ef	SetEvent
1400115c0	FUN_1400115c0	140011771	140004dc0	FUN_140004dc0
1400115c0	FUN_1400115c0	140011783	140004ff0	FUN_140004ff0
1400115c0	FUN_1400115c0	140011797	140004ff0	FUN_140004ff0
1400115c0	FUN_1400115c0	1400117ac	140004e40	FUN_140004e40
1400115c0	FUN_1400115c0	1400117bf	140004bf0	FUN_140004bf0
1400115c0	FUN_1400115c0	1400117cb	140006ef0	FUN_140006ef0
1400115c0	FUN_1400115c0	1400117e7	1400070b0	FUN_1400070b0
1400115c0	FUN_1400115c0	140011803	140036153	pcap_sendqueue_alloc
1400115c0	FUN_1400115c0	14001181f	140006eb0	FUN_140006eb0
1400115c0	FUN_1400115c0	140011844	140006ec0	FUN_140006ec0
1400115c0	FUN_1400115c0	1400118c9	EXTERNAL:000002cd	inet_addr
1400115c0	FUN_1400115c0	1400118ff	140020ba0	FUN_140020ba0
1400115c0	FUN_1400115c0	140011915	14003615f	pcap_sendqueue_queue
1400115c0	FUN_1400115c0	140011969	140006ee0	FUN_140006ee0
1400115c0	FUN_1400115c0	1400119e1	EXTERNAL:000002cd	inet_addr
1400115c0	FUN_1400115c0	140011a18	140020ba0	FUN_140020ba0
1400115c0	FUN_1400115c0	140011a2e	14003615f	pcap_sendqueue_queue
1400115c0	FUN_1400115c0	140011a42	140036165	pcap_sendqueue_transmit
1400115c0	FUN_1400115c0	140011a4b	140036159	pcap_sendqueue_destroy
1400115c0	FUN_1400115c0	140011a54	140036153	pcap_sendqueue_alloc
1400115c0	FUN_1400115c0	140011a6d	14003615f	pcap_sendqueue_queue
1400115c0	FUN_1400115c0	140011adb	140036165	pcap_sendqueue_transmit
1400115c0	FUN_1400115c0	140011ae4	140036159	pcap_sendqueue_destroy
1400115c0	FUN_1400115c0	140011b34	140020a00	FUN_140020a00
1400115c0	FUN_1400115c0	140011b41	1400363fc	free
1400115c0	FUN_1400115c0	140011b5a	1400363fc	free
1400115c0	FUN_1400115c0	140011b80	EXTERNAL:0000020a	EnterCriticalSection
1400115c0	FUN_1400115c0	140011b9c	14003613b	pcap_close
1400115c0	FUN_1400115c0	140011bb5	EXTERNAL:00000209	LeaveCriticalSection
1400115c0	FUN_1400115c0	140011bc2	EXTERNAL:000001ef	SetEvent
1400115c0	FUN_1400115c0	140011bcd	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400115c0	FUN_1400115c0	140011bd8	140004a40	FUN_140004a40
1400115c0	FUN_1400115c0	140011be4	1400364d0	__security_check_cookie
140011c10	FUN_140011c10	140011c71	140036e9c	operator_new
140011c10	FUN_140011c10	140011c82	140006c50	FUN_140006c50
140011c10	FUN_140011c10	140011c9d	140007250	FUN_140007250
140011c10	FUN_140011c10	140011ca9	140006ef0	FUN_140006ef0
140011c10	FUN_140011c10	140011cbc	140036e9c	operator_new
140011c10	FUN_140011c10	140011ccf	1400209e0	FUN_1400209e0
140011c10	FUN_140011c10	140011ce5	140036e9c	operator_new
140011c10	FUN_140011c10	140011d06	140004a10	FUN_140004a10
140011c10	FUN_140011c10	140011d31	EXTERNAL:000001ee	ResetEvent
140011c10	FUN_140011c10	140011d7c	EXTERNAL:000001b0	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140011c10	FUN_140011c10	140011d85	EXTERNAL:000002af	malloc
140011c10	FUN_140011c10	140011da0	140039b36	memset
140011c10	FUN_140011c10	140011db4	140039b36	memset
140011c10	FUN_140011c10	140011dc0	140036051	jpeg_std_error
140011c10	FUN_140011c10	140011dd8	140036081	jpeg_CreateCompress
140011c10	FUN_140011c10	140011e2c	EXTERNAL:000001fa	WaitForSingleObject
140011c10	FUN_140011c10	140011e47	EXTERNAL:000001ee	ResetEvent
140011c10	FUN_140011c10	140011e64	140020e20	FUN_140020e20
140011c10	FUN_140011c10	140011e71	140036093	jpeg_set_defaults
140011c10	FUN_140011c10	140011e81	140036099	jpeg_set_quality
140011c10	FUN_140011c10	140011e94	14003608d	jpeg_mem_dest
140011c10	FUN_140011c10	140011e9f	14003609f	jpeg_start_compress
140011c10	FUN_140011c10	140011edc	1400360a5	jpeg_write_scanlines
140011c10	FUN_140011c10	140011ef0	1400360ab	jpeg_finish_compress
140011c10	FUN_140011c10	140011f14	140020e30	FUN_140020e30
140011c10	FUN_140011c10	140011f20	EXTERNAL:000001a0	GetManager
140011c10	FUN_140011c10	140011f2d	EXTERNAL:000001b9	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140011c10	FUN_140011c10	140011f54	EXTERNAL:000001bb	Concatenate
140011c10	FUN_140011c10	140011f6b	EXTERNAL:000001a2	operator=
140011c10	FUN_140011c10	140011f7c	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140011c10	FUN_140011c10	140011f87	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140011c10	FUN_140011c10	140011f98	140004dc0	FUN_140004dc0
140011c10	FUN_140011c10	140011faa	140004ff0	FUN_140004ff0
140011c10	FUN_140011c10	140011fc6	140004ff0	FUN_140004ff0
140011c10	FUN_140011c10	140011fd9	140004e40	FUN_140004e40
140011c10	FUN_140011c10	140012006	EXTERNAL:000001ef	SetEvent
140011c10	FUN_140011c10	140012019	140004bf0	FUN_140004bf0
140011c10	FUN_140011c10	140012025	140006ef0	FUN_140006ef0
140011c10	FUN_140011c10	140012040	1400070b0	FUN_1400070b0
140011c10	FUN_140011c10	14001205a	140036153	pcap_sendqueue_alloc
140011c10	FUN_140011c10	140012076	140006eb0	FUN_140006eb0
140011c10	FUN_140011c10	14001209b	140006ec0	FUN_140006ec0
140011c10	FUN_140011c10	140012129	EXTERNAL:000002cd	inet_addr
140011c10	FUN_140011c10	140012162	140020ba0	FUN_140020ba0
140011c10	FUN_140011c10	140012178	14003615f	pcap_sendqueue_queue
140011c10	FUN_140011c10	1400121c9	140006ee0	FUN_140006ee0
140011c10	FUN_140011c10	140012241	EXTERNAL:000002cd	inet_addr
140011c10	FUN_140011c10	140012277	140020ba0	FUN_140020ba0
140011c10	FUN_140011c10	14001228d	14003615f	pcap_sendqueue_queue
140011c10	FUN_140011c10	1400122a1	140036165	pcap_sendqueue_transmit
140011c10	FUN_140011c10	1400122aa	140036159	pcap_sendqueue_destroy
140011c10	FUN_140011c10	1400122b3	140036153	pcap_sendqueue_alloc
140011c10	FUN_140011c10	1400122cc	14003615f	pcap_sendqueue_queue
140011c10	FUN_140011c10	14001232e	140036165	pcap_sendqueue_transmit
140011c10	FUN_140011c10	140012337	140036159	pcap_sendqueue_destroy
140011c10	FUN_140011c10	140012384	140036087	jpeg_destroy_compress
140011c10	FUN_140011c10	140012393	EXTERNAL:000002ae	free
140011c10	FUN_140011c10	1400123b3	140020a00	FUN_140020a00
140011c10	FUN_140011c10	1400123c0	1400363fc	free
140011c10	FUN_140011c10	1400123d9	1400363fc	free
140011c10	FUN_140011c10	1400123ff	EXTERNAL:0000020a	EnterCriticalSection
140011c10	FUN_140011c10	14001241c	14003613b	pcap_close
140011c10	FUN_140011c10	140012435	EXTERNAL:00000209	LeaveCriticalSection
140011c10	FUN_140011c10	140012442	EXTERNAL:000001ef	SetEvent
140011c10	FUN_140011c10	14001244d	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140011c10	FUN_140011c10	140012458	140004a40	FUN_140004a40
140011c10	FUN_140011c10	140012467	1400364d0	__security_check_cookie
140009bf0	FUN_140009bf0	140009c1c	140036e9c	operator_new
140009bf0	FUN_140009bf0	140009c34	140006c50	FUN_140006c50
140009bf0	FUN_140009bf0	140009c77	140007250	FUN_140007250
140009bf0	FUN_140009bf0	140009c95	140036e9c	operator_new
140009bf0	FUN_140009bf0	140009cb0	1400209e0	FUN_1400209e0
140009bf0	FUN_140009bf0	140009cd2	140006ef0	FUN_140006ef0
140009bf0	FUN_140009bf0	140009d15	14003643c	operator_new
140009bf0	FUN_140009bf0	140009d33	140039b36	memset
140009bf0	FUN_140009bf0	140009d42	140008b10	FUN_140008b10
140009bf0	FUN_140009bf0	140009d4e	EXTERNAL:000001ee	ResetEvent
140009bf0	FUN_140009bf0	140009d58	EXTERNAL:000001ee	ResetEvent
140009bf0	FUN_140009bf0	140009d73	140004dc0	FUN_140004dc0
140009bf0	FUN_140009bf0	140009d84	140004ff0	FUN_140004ff0
140009bf0	FUN_140009bf0	140009d94	EXTERNAL:000001fa	WaitForSingleObject
140009bf0	FUN_140009bf0	140009dab	EXTERNAL:000001ee	ResetEvent
140009bf0	FUN_140009bf0	140009dd2	140004ff0	FUN_140004ff0
140009bf0	FUN_140009bf0	140009de9	140004e40	FUN_140004e40
140009bf0	FUN_140009bf0	140009e01	140004bf0	FUN_140004bf0
140009bf0	FUN_140009bf0	140009e1d	1400070b0	FUN_1400070b0
140009bf0	FUN_140009bf0	140009e2b	140006ee0	FUN_140006ee0
140009bf0	FUN_140009bf0	140009e54	EXTERNAL:0000020a	EnterCriticalSection
140009bf0	FUN_140009bf0	140009e92	EXTERNAL:000002cd	inet_addr
140009bf0	FUN_140009bf0	140009ec7	140020ba0	FUN_140020ba0
140009bf0	FUN_140009bf0	140009ee2	140036141	pcap_sendpacket
140009bf0	FUN_140009bf0	140009eeb	EXTERNAL:00000209	LeaveCriticalSection
140009bf0	FUN_140009bf0	140009f50	140020a00	FUN_140020a00
140009bf0	FUN_140009bf0	140009f5d	1400363fc	free
140009bf0	FUN_140009bf0	140009f92	EXTERNAL:0000020a	EnterCriticalSection
140009bf0	FUN_140009bf0	140009fac	14003613b	pcap_close
140009bf0	FUN_140009bf0	140009fc5	EXTERNAL:00000209	LeaveCriticalSection
140009bf0	FUN_140009bf0	140009fd3	1400364f4	free
140009bf0	FUN_140009bf0	140009fdf	EXTERNAL:000001ef	SetEvent
140004c40	FUN_140004c40	140004c43	140004ae0	FUN_140004ae0
140004ae0	FUN_140004ae0	140004b02	140039b1e	memcpy
140004d60	FUN_140004d60	140004d67	140004ae0	FUN_140004ae0
140004e40	FUN_140004e40	140004e43	140004b20	FUN_140004b20
140004b20	FUN_140004b20	140004b69	14003643c	operator_new
140004b20	FUN_140004b20	140004b81	140039b1e	memcpy
140004b20	FUN_140004b20	140004b8f	1400363fc	free
140004b20	FUN_140004b20	140004bbb	140039b1e	memcpy
140004ff0	FUN_140004ff0	140004ff7	140004b20	FUN_140004b20
140006bd0	FUN_140006bd0	140006bfe	140006bb0	FUN_140006bb0
140006bd0	FUN_140006bd0	140006c1d	140007030	FUN_140007030
140006bd0	FUN_140006bd0	140006c2f	140007320	FUN_140007320
140007030	FUN_140007030	140007052	140006e60	FUN_140006e60
140007030	FUN_140007030	14000705f	14003643c	operator_new
140007030	FUN_140007030	140007082	140039b1e	memcpy
140007030	FUN_140007030	14000708d	1400364f4	free
140007320	FUN_140007320	140007349	140007030	FUN_140007030
140006c50	FUN_140006c50	140006c79	140006b90	FUN_140006b90
140006c50	FUN_140006c50	140006c92	1400072d0	FUN_1400072d0
140006c50	FUN_140006c50	140006ca0	140006f90	FUN_140006f90
1400072d0	FUN_1400072d0	1400072f9	140006f90	FUN_140006f90
140006f90	FUN_140006f90	140006fb2	140006e40	FUN_140006e40
